hos_log_id,driver_id,trip_id,duty_status,start_time,end_time,start_latitude,start_longitude,start_odometer,driving_hours_used,duty_hours_used,cycle_hours_used,driving_hours_remaining,duty_hours_remaining
8ca86124-cf57-4fc0-a17e-7fc70c57c057,f429ee7f-f592-4088-9168-959344298660,,on_duty_not_driving,2026-02-08T14:00:00Z,2026-02-08T15:55:24.932008Z,33.2489,-96.4885,166157,0.0,1.92,26.13,11.0,12.08
c704ba37-2619-4c73-9ef3-2ee2f673e0af,f429ee7f-f592-4088-9168-959344298660,8cd7b487-f896-46b6-8a29-d7b63e066a82,driving,2026-02-08T15:55:24.932008Z,2026-02-08T18:41:37.380921Z,36.0981,-86.2843,428847,2.77,4.69,28.9,8.23,9.31
d0af234f-1acb-4a48-883c-0978ca81690c,f429ee7f-f592-4088-9168-959344298660,,on_duty_not_driving,2026-02-08T18:41:37.380921Z,2026-02-08T20:26:41.564762Z,29.5801,-95.1427,523280,2.77,6.44,30.65,8.23,7.56
ec0b91a9-28f5-43e4-8d8d-49418bb907fb,f429ee7f-f592-4088-9168-959344298660,8cd7b487-f896-46b6-8a29-d7b63e066a82,driving,2026-02-08T20:26:41.564762Z,2026-02-08T22:12:21.461123Z,33.8399,-118.429,244808,4.53,8.21,32.42,6.47,5.79
ac8e324b-6208-4b3a-8cf0-43720479b60c,f429ee7f-f592-4088-9168-959344298660,,off_duty,2026-02-08T22:12:21.461123Z,2026-02-09T07:27:37.507032Z,34.0356,-84.2649,373972,4.53,8.21,32.42,6.47,5.79
75bf42d4-300e-4020-af32-e3c8f218e719,f429ee7f-f592-4088-9168-959344298660,,off_duty,2026-02-09T07:27:37.507032Z,2026-02-09T09:28:23.117533Z,32.4249,-96.7091,497608,4.53,8.21,32.42,6.47,5.79
6af1ecd8-269f-46bb-a4f6-7a6a457aa1a5,f429ee7f-f592-4088-9168-959344298660,8cd7b487-f896-46b6-8a29-d7b63e066a82,driving,2026-02-09T09:28:23.117533Z,2026-02-09T13:44:52.341734Z,35.429,-89.7633,554806,8.81,12.48,36.69,2.19,1.52
c3810cba-7c8f-48e7-a30f-1f0efec8eef5,f429ee7f-f592-4088-9168-959344298660,,sleeper_berth,2026-02-09T13:44:52.341734Z,2026-02-09T23:22:53.592211Z,29.6434,-95.3842,419271,8.81,12.48,36.69,2.19,1.52
7e126ee8-ee18-4b35-b78d-3bad8efe0aa3,f429ee7f-f592-4088-9168-959344298660,,off_duty,2026-02-09T23:22:53.592211Z,2026-02-10T00:43:07.479935Z,29.6634,-95.2516,456942,8.81,12.48,36.69,2.19,1.52
4e74843c-6447-4721-9d67-b02b86e5b016,be7cc63c-4f1a-42d3-bafb-3107be5e2203,,on_duty_not_driving,2026-02-08T18:00:00Z,2026-02-08T18:34:26.171268Z,39.5205,-94.1816,110607,0.0,0.57,21.93,11.0,13.43
36976969-ef24-4885-bbac-432d971df775,be7cc63c-4f1a-42d3-bafb-3107be5e2203,,sleeper_berth,2026-02-08T18:34:26.171268Z,2026-02-09T04:01:33.939261Z,29.5713,-95.027,549962,0.0,0.57,21.93,11.0,13.43
9f516b2e-5434-4b97-9154-7a008293e017,be7cc63c-4f1a-42d3-bafb-3107be5e2203,,driving,2026-02-09T04:01:33.939261Z,2026-02-09T08:26:36.903002Z,39.3736,-104.5161,332317,4.42,4.99,26.35,6.58,9.01
8f452e56-db5f-46cf-8b93-7c6072f0cc07,be7cc63c-4f1a-42d3-bafb-3107be5e2203,,sleeper_berth,2026-02-09T08:26:36.903002Z,2026-02-09T16:15:06.638797Z,30.4372,-82.0664,331586,4.42,4.99,26.35,6.58,9.01
e05251b1-ef9e-4c82-afb2-d2cf09bafa02,be7cc63c-4f1a-42d3-bafb-3107be5e2203,,on_duty_not_driving,2026-02-09T16:15:06.638797Z,2026-02-09T18:07:19.175946Z,30.5731,-81.3962,554656,4.42,6.86,28.22,6.58,7.14
77e90b1a-7916-4b4d-8992-1b063dd3ab54,be7cc63c-4f1a-42d3-bafb-3107be5e2203,,sleeper_berth,2026-02-09T18:07:19.175946Z,2026-02-10T03:35:06.163784Z,34.234,-118.6895,472018,4.42,6.86,28.22,6.58,7.14
71d09bc6-085b-427a-ba0a-f9cf0cf795cf,be7cc63c-4f1a-42d3-bafb-3107be5e2203,,off_duty,2026-02-10T03:35:06.163784Z,2026-02-10T05:48:21.217985Z,40.7851,-111.8223,191088,4.42,6.86,28.22,6.58,7.14
42fa4a61-db27-4461-9935-ff5b39d24ece,be7cc63c-4f1a-42d3-bafb-3107be5e2203,,on_duty_not_driving,2026-02-10T05:48:21.217985Z,2026-02-10T07:37:07.192988Z,40.0762,-105.2408,339310,4.42,8.67,30.03,6.58,5.33
44b0884c-0991-4947-acf7-b06d67f15ee1,d8d74053-833b-4c95-b15d-1eec0a0e16dc,,sleeper_berth,2026-02-08T12:00:00Z,2026-02-08T20:06:18.200818Z,39.1048,-94.4432,164945,0.0,0.0,52.13,11.0,14.0
6adfccf6-8f6c-4584-921b-97622200f626,d8d74053-833b-4c95-b15d-1eec0a0e16dc,,driving,2026-02-08T20:06:18.200818Z,2026-02-08T22:19:51.132240Z,39.1937,-94.901,556382,2.23,2.23,54.36,8.77,11.77
a9a1b5a0-92f8-4f15-9b7f-034d4b4e7dd0,d8d74053-833b-4c95-b15d-1eec0a0e16dc,,off_duty,2026-02-08T22:19:51.132240Z,2026-02-09T04:36:46.052289Z,39.6126,-85.8204,235612,2.23,2.23,54.36,8.77,11.77
5881d850-8776-4511-82a9-10cdce08d424,d8d74053-833b-4c95-b15d-1eec0a0e16dc,,driving,2026-02-09T04:36:46.052289Z,2026-02-09T06:58:04.801554Z,29.8819,-81.3019,508855,4.58,4.58,56.71,6.42,9.42
5c8ce9de-8293-49e6-a2f4-8b029e873489,d8d74053-833b-4c95-b15d-1eec0a0e16dc,,on_duty_not_driving,2026-02-09T06:58:04.801554Z,2026-02-09T08:45:13.201966Z,35.8878,-87.0749,441619,4.58,6.37,58.5,6.42,7.63
d117a520-c10d-4f8d-abf1-a66365927d96,d8d74053-833b-4c95-b15d-1eec0a0e16dc,,off_duty,2026-02-09T08:45:13.201966Z,2026-02-09T14:22:23.513940Z,41.0411,-111.6234,104665,4.58,6.37,58.5,6.42,7.63
a74e17d3-09bb-47c2-bb2f-7f44d5887c44,d8d74053-833b-4c95-b15d-1eec0a0e16dc,,off_duty,2026-02-09T14:22:23.513940Z,2026-02-09T23:34:36.614133Z,35.8359,-86.4807,217319,4.58,6.37,58.5,6.42,7.63
3b7b48a1-1850-44ea-88ad-5f13b841dcb2,bc2d3db5-fc71-45a9-8a20-9a0d38c9a903,,sleeper_berth,2026-02-08T16:00:00Z,2026-02-09T00:16:17.113447Z,30.6838,-81.6967,214404,0.0,0.0,41.29,11.0,14.0
f9d7f83c-c08a-4808-8351-d9380d635899,bc2d3db5-fc71-45a9-8a20-9a0d38c9a903,,off_duty,2026-02-09T00:16:17.113447Z,2026-02-09T03:59:26.614404Z,34.2668,-118.3579,153641,0.0,0.0,41.29,11.0,14.0
68d28d82-839d-4a7b-a4f8-b34dab4ee1be,bc2d3db5-fc71-45a9-8a20-9a0d38c9a903,3b9c6f4a-4ead-4ce6-a51a-e1d7c6829422,driving,2026-02-09T03:59:26.614404Z,2026-02-09T07:01:30.962553Z,36.6292,-86.4422,394365,3.03,3.03,44.33,7.97,10.97
3578820c-e7a1-494b-831a-11bd73bad5f1,bc2d3db5-fc71-45a9-8a20-9a0d38c9a903,,sleeper_berth,2026-02-09T07:01:30.962553Z,2026-02-09T14:55:14.502557Z,41.8598,-87.7935,244956,3.03,3.03,44.33,7.97,10.97
8ade402d-72bf-4f59-9da5-9111f5d4823e,bc2d3db5-fc71-45a9-8a20-9a0d38c9a903,,sleeper_berth,2026-02-09T14:55:14.502557Z,2026-02-10T00:30:18.611840Z,29.9165,-94.9176,441556,3.03,3.03,44.33,7.97,10.97
21d08da2-fe6c-4033-8495-51d559cd240b,bc2d3db5-fc71-45a9-8a20-9a0d38c9a903,,sleeper_berth,2026-02-10T00:30:18.611840Z,2026-02-10T08:04:12.900717Z,34.208,-117.8554,522277,3.03,3.03,44.33,7.97,10.97
b953cad1-5c5e-4154-ac28-97624f194f7b,bc2d3db5-fc71-45a9-8a20-9a0d38c9a903,,off_duty,2026-02-10T08:04:12.900717Z,2026-02-10T15:00:54.083204Z,35.8026,-87.2561,360766,3.03,3.03,44.33,7.97,10.97
