load_id,load_number,customer_id,load_type,description,weight_lbs,required_trailer_type,required_endorsements,pickup_terminal_id,delivery_terminal_id,pickup_window_start,pickup_window_end,delivery_window_start,delivery_window_end,status,priority,value_usd
3e122e41-90d8-4934-b2c4-5f3fa954a2d4,LD-90001,f54d42dd-8475-4c43-8791-7b1f3a664ad9,refrigerated,Fresh seafood,15032,reefer,[],a5c4021b-5488-4368-9e13-974cfc4357b2,932b0a9f-c131-45a8-834f-082694ccde46,2026-02-15T02:00:00Z,2026-02-15T08:00:00Z,2026-02-15T16:00:00Z,2026-02-15T22:00:00Z,pending,standard,116315.52
0a1484a0-fc9e-4aff-b2f5-9448c2c68d05,LD-90002,73f7211f-ef1d-46c3-baee-668d7af5d099,oversize,Prefabricated structure,41044,flatbed,[],e1bed69c-5f89-4d1a-ab5f-4f60665b74c2,8cffe9c5-f13e-4d3e-9794-e4b2f22e808f,2026-02-18T05:00:00Z,2026-02-18T08:00:00Z,2026-02-18T08:06:00Z,2026-02-18T14:06:00Z,pending,standard,52238.79
325c0126-c67a-43f5-b052-579aad03fc1b,LD-90003,926f0e31-14d0-45ec-a56c-6b61808514b9,general,Furniture,24860,dry_van,[],5d9b2d6b-91f3-4b4a-945d-8da3910babf3,8f995c84-607c-4ae0-b0d4-c21ca07f273d,2026-02-17T09:00:00Z,2026-02-17T14:00:00Z,2026-02-17T12:54:00Z,2026-02-17T18:54:00Z,pending,standard,185471.38
c4595d23-7da9-480d-b2a3-c37a6c909043,LD-90004,d9cb0ba1-f5d6-4e54-918f-71841f6ec00a,refrigerated,Pharmaceutical supplies (cold chain),34574,reefer,[],8f995c84-607c-4ae0-b0d4-c21ca07f273d,bb0b1a88-e634-4f33-8169-e0e767fe3594,2026-02-14T10:00:00Z,2026-02-14T16:00:00Z,2026-02-15T01:30:00Z,2026-02-15T07:30:00Z,pending,critical,85342.03
798c7855-16c5-4255-83a6-10f022afd8c2,LD-90005,1a6baee9-8ff9-4a0e-8b2b-518722ab1757,hazmat,Industrial chemicals,29207,tanker,"['H', 'N']",8f995c84-607c-4ae0-b0d4-c21ca07f273d,8cffe9c5-f13e-4d3e-9794-e4b2f22e808f,2026-02-14T05:00:00Z,2026-02-14T10:00:00Z,2026-02-14T14:54:00Z,2026-02-14T20:54:00Z,pending,standard,68892.39
3a269ce6-b0ec-41b0-9dbe-4a1ec8f2e498,LD-90006,4e1ef581-730c-4cfc-b0a0-391f7be28174,general,Building materials,8749,flatbed,[],5d9b2d6b-91f3-4b4a-945d-8da3910babf3,a7a73568-5e65-43e1-bf71-2c7cd8483d63,2026-02-15T06:00:00Z,2026-02-15T10:00:00Z,2026-02-16T02:42:00Z,2026-02-16T08:42:00Z,pending,standard,174728.3
909dd8fa-1be5-44d6-af59-d6998724d97d,LD-90007,1a6baee9-8ff9-4a0e-8b2b-518722ab1757,general,Textiles,34569,dry_van,[],8cffe9c5-f13e-4d3e-9794-e4b2f22e808f,e1bed69c-5f89-4d1a-ab5f-4f60665b74c2,2026-02-15T03:00:00Z,2026-02-15T06:00:00Z,2026-02-15T06:12:00Z,2026-02-15T12:12:00Z,pending,standard,174121.14
5b006c8f-b99a-458e-84dd-fa4e6db31199,LD-90008,958a9347-1179-4132-90bd-9c703ec20dad,refrigerated,Pharmaceutical supplies (cold chain),16753,reefer,[],bb2ededc-f89e-45a9-b92d-fa760543d230,04487ae7-0061-4d10-bae0-a8cb11cde667,2026-02-14T16:00:00Z,2026-02-14T19:00:00Z,2026-02-15T08:36:00Z,2026-02-15T14:36:00Z,pending,standard,116469.77
b19f547d-ab57-477b-9a23-b0114fbc1aba,LD-90009,9305b58e-17a0-4b30-8c8e-eba622bcb970,refrigerated,Dairy products,43226,reefer,[],743c0ff0-e847-402c-8244-4f1429a62e75,8f995c84-607c-4ae0-b0d4-c21ca07f273d,2026-02-18T08:00:00Z,2026-02-18T13:00:00Z,2026-02-19T06:30:00Z,2026-02-19T12:30:00Z,pending,standard,171683.77
955c2518-bd2c-4082-ac9a-4e72202eb7ff,LD-90010,73f7211f-ef1d-46c3-baee-668d7af5d099,general,Industrial equipment,13118,dry_van,[],8cffe9c5-f13e-4d3e-9794-e4b2f22e808f,8f995c84-607c-4ae0-b0d4-c21ca07f273d,2026-02-16T07:00:00Z,2026-02-16T11:00:00Z,2026-02-16T16:24:00Z,2026-02-16T22:24:00Z,pending,standard,20130.72
62a2acee-d262-4da6-90bf-f73d8c66ea0e,LD-90011,73f7211f-ef1d-46c3-baee-668d7af5d099,oversize,Steel I-beams,17820,flatbed,[],8f995c84-607c-4ae0-b0d4-c21ca07f273d,bb0b1a88-e634-4f33-8169-e0e767fe3594,2026-02-16T13:00:00Z,2026-02-16T19:00:00Z,2026-02-17T04:30:00Z,2026-02-17T10:30:00Z,pending,standard,214349.07
a340d97e-ecdf-41b9-8907-891c14daa2bb,LD-90012,1a6baee9-8ff9-4a0e-8b2b-518722ab1757,hazmat,Diesel fuel,40035,dry_van,['H'],8f995c84-607c-4ae0-b0d4-c21ca07f273d,743c0ff0-e847-402c-8244-4f1429a62e75,2026-02-17T07:00:00Z,2026-02-17T13:00:00Z,2026-02-18T05:24:00Z,2026-02-18T11:24:00Z,pending,critical,114143.26
06233a55-1230-43b7-95a4-ea96e9359f5f,LD-90013,4e1ef581-730c-4cfc-b0a0-391f7be28174,general,Industrial equipment,37936,dry_van,[],932b0a9f-c131-45a8-834f-082694ccde46,24dd1bd1-f1fc-4307-a497-01a617600cb1,2026-02-16T05:00:00Z,2026-02-16T10:00:00Z,2026-02-16T13:48:00Z,2026-02-16T19:48:00Z,pending,standard,141905.31
1684a9d9-bd3f-4c41-893d-aca03d777da4,LD-90014,8f331b2b-481d-4b3f-ad44-e67be5dc558f,refrigerated,Frozen meals,22280,reefer,[],b4d6a49a-44d6-4dce-82e0-967b3c2eac4a,bb2ededc-f89e-45a9-b92d-fa760543d230,2026-02-14T20:00:00Z,2026-02-14T22:00:00Z,2026-02-15T18:42:00Z,2026-02-16T00:42:00Z,pending,standard,16096.0
06cfa9b3-7ac4-4e45-87f9-f2d33033b8f8,LD-90015,f246fb68-e7b9-42de-a692-b12a8d079c75,refrigerated,Frozen produce,38937,reefer,[],743c0ff0-e847-402c-8244-4f1429a62e75,b4d6a49a-44d6-4dce-82e0-967b3c2eac4a,2026-02-13T19:00:00Z,2026-02-13T21:00:00Z,2026-02-14T02:42:00Z,2026-02-14T08:42:00Z,pending,standard,105172.4
fe5d1f9a-a507-48f1-84f5-16dd2dfc4e44,LD-90016,9305b58e-17a0-4b30-8c8e-eba622bcb970,general,Canned goods,37395,dry_van,[],24dd1bd1-f1fc-4307-a497-01a617600cb1,8cffe9c5-f13e-4d3e-9794-e4b2f22e808f,2026-02-18T06:00:00Z,2026-02-18T11:00:00Z,2026-02-18T13:42:00Z,2026-02-18T19:42:00Z,pending,expedited,24661.25
60a62b07-52c2-4a19-8e87-5cc1289760d8,LD-90017,f9cf1940-9f88-4764-b923-f38cf8466478,oversize,Prefabricated structure,43209,flatbed,[],24dd1bd1-f1fc-4307-a497-01a617600cb1,8f995c84-607c-4ae0-b0d4-c21ca07f273d,2026-02-14T03:00:00Z,2026-02-14T06:00:00Z,2026-02-14T13:30:00Z,2026-02-14T19:30:00Z,pending,critical,36200.04
a295418f-39e8-4402-a2e6-35fa9535b664,LD-90018,8f331b2b-481d-4b3f-ad44-e67be5dc558f,general,Canned goods,43680,flatbed,[],932b0a9f-c131-45a8-834f-082694ccde46,a5c4021b-5488-4368-9e13-974cfc4357b2,2026-02-15T02:00:00Z,2026-02-15T07:00:00Z,2026-02-15T15:18:00Z,2026-02-15T21:18:00Z,pending,critical,97922.73
4824950a-f19a-437d-9486-4e984c91ba90,LD-90019,13e6bd88-d515-4c90-abf4-5adec023f944,general,Paper products,26064,flatbed,[],8cffe9c5-f13e-4d3e-9794-e4b2f22e808f,e1bed69c-5f89-4d1a-ab5f-4f60665b74c2,2026-02-15T08:00:00Z,2026-02-15T11:00:00Z,2026-02-15T11:12:00Z,2026-02-15T17:12:00Z,pending,standard,12893.24
b4381c79-785c-45f9-a277-6309e2f740eb,LD-90020,62ee513c-591b-4923-87ea-cbb046138f4d,hazmat,Diesel fuel,12409,tanker,"['H', 'N']",932b0a9f-c131-45a8-834f-082694ccde46,a5c4021b-5488-4368-9e13-974cfc4357b2,2026-02-14T18:00:00Z,2026-02-14T21:00:00Z,2026-02-15T07:18:00Z,2026-02-15T13:18:00Z,pending,critical,13226.19
2a4fb6be-484d-4a68-872c-539408edefb7,LD-90021,13e6bd88-d515-4c90-abf4-5adec023f944,general,Textiles,23357,dry_van,[],a5c4021b-5488-4368-9e13-974cfc4357b2,24dd1bd1-f1fc-4307-a497-01a617600cb1,2026-02-15T15:00:00Z,2026-02-15T20:00:00Z,2026-02-16T06:54:00Z,2026-02-16T12:54:00Z,pending,standard,189824.5
d1b0e302-e9b1-40ae-bb38-f8f8f507b608,LD-90022,f9cf1940-9f88-4764-b923-f38cf8466478,general,Industrial equipment,28899,dry_van,[],5d09a17e-b9a6-49b4-b030-c77c1619b8f6,932b0a9f-c131-45a8-834f-082694ccde46,2026-02-15T01:00:00Z,2026-02-15T04:00:00Z,2026-02-15T17:30:00Z,2026-02-15T23:30:00Z,pending,critical,194271.86
908a5361-7f0a-4c08-9fbc-c26cbd4465e4,LD-90023,13e6bd88-d515-4c90-abf4-5adec023f944,refrigerated,Dairy products,42160,reefer,[],a7a0e58a-7589-417e-ad15-3e0f6ee4211a,932b0a9f-c131-45a8-834f-082694ccde46,2026-02-18T04:00:00Z,2026-02-18T07:00:00Z,2026-02-18T06:24:00Z,2026-02-18T12:24:00Z,pending,expedited,78622.73
9e06c218-4861-40ba-bbe0-eb76cbbe4ce9,LD-90024,a507d05c-6ddd-4666-9b23-8ca185fd9f46,general,Textiles,35997,dry_van,[],04487ae7-0061-4d10-bae0-a8cb11cde667,bb2ededc-f89e-45a9-b92d-fa760543d230,2026-02-18T04:00:00Z,2026-02-18T07:00:00Z,2026-02-18T21:48:00Z,2026-02-19T03:48:00Z,pending,expedited,16486.6
8b83b651-7735-4c0b-86f0-3dcae9ec400c,LD-90025,92f840c0-4d02-46d7-a81f-1e8356caa56f,refrigerated,Dairy products,34755,reefer,[],5d09a17e-b9a6-49b4-b030-c77c1619b8f6,a7a73568-5e65-43e1-bf71-2c7cd8483d63,2026-02-15T04:00:00Z,2026-02-15T09:00:00Z,2026-02-16T01:30:00Z,2026-02-16T07:30:00Z,pending,standard,97232.75
595d80d0-8477-43bb-9ccf-5163365f1b4a,LD-90026,507499fd-a297-4959-9d0b-5cbb392ea244,oversize,Steel I-beams,27709,flatbed,[],bb0b1a88-e634-4f33-8169-e0e767fe3594,24dd1bd1-f1fc-4307-a497-01a617600cb1,2026-02-18T00:00:00Z,2026-02-18T03:00:00Z,2026-02-18T13:48:00Z,2026-02-18T19:48:00Z,pending,expedited,229111.59
fa6c26a0-8424-49b3-b3b4-b38be6600aad,LD-90027,9305b58e-17a0-4b30-8c8e-eba622bcb970,oversize,Prefabricated structure,16787,flatbed,[],b4d6a49a-44d6-4dce-82e0-967b3c2eac4a,04487ae7-0061-4d10-bae0-a8cb11cde667,2026-02-16T11:00:00Z,2026-02-16T17:00:00Z,2026-02-17T01:12:00Z,2026-02-17T07:12:00Z,pending,standard,67473.93
