maintenance_event_id,truck_id,terminal_id,maintenance_type,status,scheduled_date,completed_date,odometer_at_service,cost_usd,technician_notes
fd50df3f-7634-48fe-a8fd-514fcb1792c3,9b21ce71-dc8e-479e-be0e-03bc3d7f5b6e,a7a73568-5e65-43e1-bf71-2c7cd8483d63,dot_inspection,completed,2026-02-06,2026-02-09,536357,172.14,Routine service completed without issues.
8bb68a59-0c1e-45be-9ca3-55bd18371ee1,7eb9ab99-1df7-4bb0-871a-242c20e6a679,5d9b2d6b-91f3-4b4a-945d-8da3910babf3,dpf_cleaning,completed,2025-07-04,2025-07-04,378736,561.11,Parts on order — follow-up required.
845ba3dd-5965-4d0c-a426-96856467f068,66288719-2402-4530-a83b-048257073d03,8cffe9c5-f13e-4d3e-9794-e4b2f22e808f,transmission_service,completed,2025-09-20,2025-09-20,355560,2384.79,Routine service completed without issues.
bb8752c9-bd59-4a09-8054-8a2a0228017e,5d412048-de3c-4dd0-9e6f-c93978350731,e1bed69c-5f89-4d1a-ab5f-4f60665b74c2,brake_inspection,completed,2025-07-17,2025-07-20,513984,1235.0,"Technician recommends follow-up in 10,000 miles."
7a8f2e48-d009-420b-9e5e-bdaad7201d83,7c22f31f-7458-4c65-b5cd-665df68f08f6,bb0b1a88-e634-4f33-8169-e0e767fe3594,transmission_service,completed,2025-09-24,2025-09-27,387754,1847.1,Minor issue found during inspection — addressed on site.
709436c6-2815-4eef-8b35-b95be517de05,c3e2cded-e259-4a53-aef0-e27388a555e4,24dd1bd1-f1fc-4307-a497-01a617600cb1,tire_replacement,completed,2025-02-02,2025-02-04,54176,2899.26,Routine service completed without issues.
31496d4e-781f-46c8-b24c-caf97e137dcb,f00ad0d6-028c-4b1b-ae9d-d73e8146f0d5,5d9b2d6b-91f3-4b4a-945d-8da3910babf3,tire_replacement,completed,2026-01-05,2026-01-06,489369,2320.92,Minor issue found during inspection — addressed on site.
8ee5d293-f1ac-4e78-9214-8c5eeacd3cab,7eb9ab99-1df7-4bb0-871a-242c20e6a679,a7a73568-5e65-43e1-bf71-2c7cd8483d63,brake_inspection,completed,2025-11-14,2025-11-16,358569,701.68,"Technician recommends follow-up in 10,000 miles."
1c015546-0111-47e2-8a23-bc5da1587b78,5d412048-de3c-4dd0-9e6f-c93978350731,8f995c84-607c-4ae0-b0d4-c21ca07f273d,brake_inspection,completed,2025-06-14,2025-06-15,508006,677.02,Parts on order — follow-up required.
5037681f-daf6-4356-b0da-df8bc5f20ea4,de1c7432-0aad-47db-a9a4-57391fffc17e,5d9b2d6b-91f3-4b4a-945d-8da3910babf3,dot_inspection,completed,2025-12-22,2025-12-23,213382,175.21,Parts on order — follow-up required.
a299d22b-7901-4f96-86e6-ae0ce8fa0269,f00ad0d6-028c-4b1b-ae9d-d73e8146f0d5,932b0a9f-c131-45a8-834f-082694ccde46,transmission_service,completed,2025-04-13,2025-04-14,474699,3419.04,Routine service completed without issues.
4294d803-cf2c-44d8-8408-9192a69af0ad,0112d5b7-0e91-4ac5-bbfe-224af3f59bda,24dd1bd1-f1fc-4307-a497-01a617600cb1,dot_inspection,completed,2025-04-18,2025-04-20,297396,113.83,Parts on order — follow-up required.
da222a0b-c731-46ad-82f9-a626389bf157,778af6f4-48f8-44e5-8792-96dddb69d150,24dd1bd1-f1fc-4307-a497-01a617600cb1,tire_replacement,completed,2025-11-21,2025-11-23,350846,2462.43,Parts on order — follow-up required.
9d45a37b-12b9-4710-b300-045d093664dd,08e4940d-19b7-41ce-8741-ba79b8b80108,932b0a9f-c131-45a8-834f-082694ccde46,dpf_cleaning,completed,2025-11-03,2025-11-06,187271,854.63,"Technician recommends follow-up in 10,000 miles."
0aa65f0d-4e97-4ea4-b7fd-b511ff9d7667,c3c447c1-0a62-4f2c-ae63-9e0668439099,8cffe9c5-f13e-4d3e-9794-e4b2f22e808f,oil_change,scheduled,2026-02-09,,399943,,
4af441bd-b74e-4f3e-b2d7-844e7bb6a699,91be008e-d3eb-4fff-8557-128a692a9314,bb0b1a88-e634-4f33-8169-e0e767fe3594,dot_inspection,completed,2025-12-07,2025-12-07,559643,296.72,"Technician recommends follow-up in 10,000 miles."
0e62d99a-df14-4cfb-b4c6-0a1b707c8273,1cba5d22-01b5-4f8b-a308-9fddb8badc99,a7a73568-5e65-43e1-bf71-2c7cd8483d63,brake_inspection,completed,2026-02-12,2026-02-12,233031,610.49,All systems nominal. Passed inspection.
e0d88789-b714-4ae0-ae2d-fe8c9f32f7e7,6cb71107-5578-4cfa-87c7-1cfd467fa466,8cffe9c5-f13e-4d3e-9794-e4b2f22e808f,transmission_service,completed,2025-10-25,2025-10-26,556040,2435.3,Parts on order — follow-up required.
8e61233e-49b7-4013-8e4d-9b9251293ab3,91be008e-d3eb-4fff-8557-128a692a9314,5d09a17e-b9a6-49b4-b030-c77c1619b8f6,transmission_service,completed,2025-12-20,2025-12-22,594945,2706.93,Minor issue found during inspection — addressed on site.
40c18608-7980-4f31-9578-1da60c13944c,c3c447c1-0a62-4f2c-ae63-9e0668439099,932b0a9f-c131-45a8-834f-082694ccde46,oil_change,completed,2026-01-09,2026-01-11,384627,582.13,Replaced worn components. Truck returned to service.
