route_id,route_name,origin_terminal_id,destination_terminal_id,distance_miles,estimated_hours,estimated_hours_with_stops,waypoints,toll_cost_estimate,fuel_stops_recommended
171d48d9-341f-42ec-a7c9-a67a6c060469,ATL→CHI,a5c4021b-5488-4368-9e13-974cfc4357b2,932b0a9f-c131-45a8-834f-082694ccde46,752.9,13.7,16.0,[],47.94,1
09b33381-c01d-415a-b9dd-cdad21ff9510,CHI→ATL,932b0a9f-c131-45a8-834f-082694ccde46,a5c4021b-5488-4368-9e13-974cfc4357b2,721.8,13.1,15.3,[],110.77,1
24570f2a-b3a4-431a-a058-96dbbfc59505,ATL→KAN,a5c4021b-5488-4368-9e13-974cfc4357b2,24dd1bd1-f1fc-4307-a497-01a617600cb1,845.7,15.4,17.9,[],52.2,1
400a89b5-38dd-4e8e-99f3-65ee615ce430,ATL→NAS,a5c4021b-5488-4368-9e13-974cfc4357b2,e1bed69c-5f89-4d1a-ab5f-4f60665b74c2,282.8,5.1,5.9,[],90.7,1
863652b1-5d84-411d-bf60-7285b0ee3b48,ATL→JAC,a5c4021b-5488-4368-9e13-974cfc4357b2,a7a73568-5e65-43e1-bf71-2c7cd8483d63,369.7,6.7,7.8,[],87.8,1
dc2dc8a8-b7be-42b3-a417-acc8f0a4817f,CHI→IND,932b0a9f-c131-45a8-834f-082694ccde46,a7a0e58a-7589-417e-ad15-3e0f6ee4211a,212.9,3.9,4.5,[],35.19,1
5fb7fa81-ccc2-4e73-a619-7827be6f2eae,CHI→MEM,932b0a9f-c131-45a8-834f-082694ccde46,8cffe9c5-f13e-4d3e-9794-e4b2f22e808f,597.3,10.9,12.7,[],73.6,1
a00df7c2-d09e-4034-b21a-439384dbfab6,CHI→NEW,932b0a9f-c131-45a8-834f-082694ccde46,5d09a17e-b9a6-49b4-b030-c77c1619b8f6,866.3,15.8,18.4,[],117.16,1
df53106c-2681-4bad-a958-d8ea6ccde2d8,CHI→KAN,932b0a9f-c131-45a8-834f-082694ccde46,24dd1bd1-f1fc-4307-a497-01a617600cb1,513.2,9.3,10.8,[],45.35,1
b6b6279c-1cc2-4f79-8ca6-902c94f446b1,DAL→HOU,8f995c84-607c-4ae0-b0d4-c21ca07f273d,5d9b2d6b-91f3-4b4a-945d-8da3910babf3,276.7,5.0,5.8,[],89.02,1
eb69d3be-bec0-4b91-9ef6-876acdd8f631,HOU→DAL,5d9b2d6b-91f3-4b4a-945d-8da3910babf3,8f995c84-607c-4ae0-b0d4-c21ca07f273d,280.5,5.1,5.9,[],51.62,1
6c1d6213-a193-493e-b6a7-3d75c69cf67f,DAL→MEM,8f995c84-607c-4ae0-b0d4-c21ca07f273d,8cffe9c5-f13e-4d3e-9794-e4b2f22e808f,562.7,10.2,11.9,[],98.52,1
b9b0030e-b8c1-46cc-91fd-6be460a3e0dc,DAL→DEN,8f995c84-607c-4ae0-b0d4-c21ca07f273d,bb0b1a88-e634-4f33-8169-e0e767fe3594,822.3,15.0,17.5,[],27.8,1
212e00f3-235a-4827-8aa0-8b910f2c45dc,DAL→PHO,8f995c84-607c-4ae0-b0d4-c21ca07f273d,743c0ff0-e847-402c-8244-4f1429a62e75,1151.2,20.9,24.4,[],54.87,2
1dfc430c-490f-412d-843a-6281329dbed7,DEN→SAL,bb0b1a88-e634-4f33-8169-e0e767fe3594,04487ae7-0061-4d10-bae0-a8cb11cde667,499.2,9.1,10.6,[],100.93,1
1631c805-2f73-496d-b33c-372ee9969f10,DEN→KAN,bb0b1a88-e634-4f33-8169-e0e767fe3594,24dd1bd1-f1fc-4307-a497-01a617600cb1,748.4,13.6,15.8,[],99.48,1
ccb2c7a3-f02a-4c98-871a-c4d73934be57,DEN→PHO,bb0b1a88-e634-4f33-8169-e0e767fe3594,743c0ff0-e847-402c-8244-4f1429a62e75,728.2,13.2,15.4,[],45.2,1
3f0c94e1-1a10-4b23-8f5b-eb539ad9ea00,HOU→JAC,5d9b2d6b-91f3-4b4a-945d-8da3910babf3,a7a73568-5e65-43e1-bf71-2c7cd8483d63,1072.7,19.5,22.7,[],51.37,2
e93437ff-5aed-43e2-a510-e7f291134b3e,IND→NAS,a7a0e58a-7589-417e-ad15-3e0f6ee4211a,e1bed69c-5f89-4d1a-ab5f-4f60665b74c2,318.4,5.8,6.8,[],41.93,1
4e3253f8-f21b-465a-8a91-83d69959b3f2,IND→CHI,a7a0e58a-7589-417e-ad15-3e0f6ee4211a,932b0a9f-c131-45a8-834f-082694ccde46,209.6,3.8,4.4,[],36.22,1
c27ae2bc-5ab7-4fd2-8ac9-447e87c02034,JAC→ATL,a7a73568-5e65-43e1-bf71-2c7cd8483d63,a5c4021b-5488-4368-9e13-974cfc4357b2,365.2,6.6,7.7,[],112.97,1
1642937f-c16a-4536-bdec-6e932e454748,KAN→DEN,24dd1bd1-f1fc-4307-a497-01a617600cb1,bb0b1a88-e634-4f33-8169-e0e767fe3594,726.8,13.2,15.4,[],29.41,1
7cae2e65-7839-4609-9b8e-2b81eb385047,KAN→DAL,24dd1bd1-f1fc-4307-a497-01a617600cb1,8f995c84-607c-4ae0-b0d4-c21ca07f273d,586.9,10.7,12.5,[],76.62,1
2e03c642-d9fc-45af-8f72-a4acb1d9ff7f,KAN→MEM,24dd1bd1-f1fc-4307-a497-01a617600cb1,8cffe9c5-f13e-4d3e-9794-e4b2f22e808f,457.1,8.3,9.7,[],85.33,1
9aa32c89-1a9d-4570-a641-5f92536a424e,LOS→PHO,b4d6a49a-44d6-4dce-82e0-967b3c2eac4a,743c0ff0-e847-402c-8244-4f1429a62e75,456.7,8.3,9.7,[],81.98,1
a6708185-c54d-4d29-be87-27e10c5f4196,LOS→SEA,b4d6a49a-44d6-4dce-82e0-967b3c2eac4a,bb2ededc-f89e-45a9-b92d-fa760543d230,1168.6,21.2,24.7,[],58.4,2
133aa94b-8542-45db-a00b-f23088e9e8d1,LOS→SAL,b4d6a49a-44d6-4dce-82e0-967b3c2eac4a,04487ae7-0061-4d10-bae0-a8cb11cde667,766.6,13.9,16.2,[],25.56,1
a8fe3dc1-63fa-46b5-8f8d-4923534667e2,MEM→ATL,8cffe9c5-f13e-4d3e-9794-e4b2f22e808f,a5c4021b-5488-4368-9e13-974cfc4357b2,443.0,8.1,9.4,[],15.54,1
4246e3c4-4be7-4e78-8289-b50e095f2ef9,MEM→DAL,8cffe9c5-f13e-4d3e-9794-e4b2f22e808f,8f995c84-607c-4ae0-b0d4-c21ca07f273d,538.5,9.8,11.4,[],112.56,1
9aee31e8-71d5-4d98-82a4-c01f70015aba,MEM→NAS,8cffe9c5-f13e-4d3e-9794-e4b2f22e808f,e1bed69c-5f89-4d1a-ab5f-4f60665b74c2,247.6,4.5,5.2,[],113.18,1
