truck_id,truck_number,vin,make,model,year,odometer_miles,fuel_capacity_gallons,status,home_terminal_id,next_maintenance_miles,next_maintenance_type,last_dot_inspection_date
7eb9ab99-1df7-4bb0-871a-242c20e6a679,TRK-1001,1FUW0BHKCHDKXNNGJ,Freightliner,Cascadia,2023,387419,150,available,8cffe9c5-f13e-4d3e-9794-e4b2f22e808f,400000,transmission_service,2025-07-05
772fdfb1-3333-4e91-bfe0-4698849d0d43,TRK-1002,1M1SJ7ZHL2B43PC7V,Mack,Anthem,2020,640086,250,available,bb0b1a88-e634-4f33-8169-e0e767fe3594,650000,tire_replacement,2025-03-25
0a7ce512-6fd2-4bd5-8397-69989264ef0d,TRK-1003,1M1JJVJW6PH9TDBDX,Mack,Anthem,2022,494850,300,available,8cffe9c5-f13e-4d3e-9794-e4b2f22e808f,600000,dpf_cleaning,2025-03-15
9f68db68-9933-43bb-85ab-7c84122652be,TRK-1004,1FUU95A0ZUJYDRR85,Freightliner,Cascadia,2022,480156,250,available,b4d6a49a-44d6-4dce-82e0-967b3c2eac4a,500000,transmission_service,2025-08-28
21a46452-3bc4-4d4a-8bab-f57edef90c07,TRK-1005,1XKTGNF877WTDM93H,Kenworth,T680,2023,191579,200,available,bb2ededc-f89e-45a9-b92d-fa760543d230,210000,brake_inspection,2025-11-24
e3856ee0-7d9f-42f6-bcc8-07541faada11,TRK-1006,3HS9UEY8FUX871Z0P,International,LT,2019,169814,250,available,24dd1bd1-f1fc-4307-a497-01a617600cb1,200000,dpf_cleaning,2025-02-05
541bc8d7-d264-464b-9347-d2f54de442eb,TRK-1007,3HSCAVWA0BCBLTKTU,International,LT,2022,206882,300,available,bb0b1a88-e634-4f33-8169-e0e767fe3594,250000,tire_replacement,2025-04-26
779a60b6-d302-4947-9c74-f452ce157f2b,TRK-1008,4V4DRPS1Z9DPM5JGR,Volvo,VNL 860,2025,506833,300,available,8f995c84-607c-4ae0-b0d4-c21ca07f273d,550000,tire_replacement,2025-02-18
a98ad92c-16b7-426c-86c6-bcc26f53dccb,TRK-1009,1XP35DYUAD1HPS56F,Peterbilt,579,2022,341941,150,available,a7a73568-5e65-43e1-bf71-2c7cd8483d63,350000,oil_change,2025-08-15
9b21ce71-dc8e-479e-be0e-03bc3d7f5b6e,TRK-1010,1XPZ12YTGHB1CLBS7,Peterbilt,579,2025,557110,200,available,a5c4021b-5488-4368-9e13-974cfc4357b2,570000,brake_inspection,2025-08-05
d5803896-6365-4493-8dc5-def65e279c55,TRK-1011,3HSC5P8VWBCYVLJZL,International,LT,2019,274851,250,available,a7a73568-5e65-43e1-bf71-2c7cd8483d63,275000,oil_change,2025-11-01
d148c596-6441-47d8-9160-9e7c5c9f6749,TRK-1012,1XK77AXVDUTEMCJKR,Kenworth,T680,2024,394569,250,available,8cffe9c5-f13e-4d3e-9794-e4b2f22e808f,400000,dpf_cleaning,2025-06-11
a14ca3c2-680e-4772-9db2-db22a0d124cf,TRK-1013,1M17D5J61FKGMZ5TJ,Mack,Anthem,2023,88203,150,available,932b0a9f-c131-45a8-834f-082694ccde46,100000,transmission_service,2025-06-03
fca99769-92fa-41eb-854f-40816e798d6c,TRK-1014,1M1ME9FR0VD8ZEBNV,Mack,Anthem,2022,370120,300,available,8f995c84-607c-4ae0-b0d4-c21ca07f273d,375000,oil_change,2025-01-02
7ee05f2c-65f5-4e84-8915-5dcf65c364fb,TRK-1015,1FUGJD26PXF75936A,Freightliner,Cascadia,2021,462364,250,available,743c0ff0-e847-402c-8244-4f1429a62e75,475000,oil_change,2025-07-03
d6531bc4-18c1-4fa1-9cc0-b9af340f2e4e,TRK-1016,4V42D55H3SL3HAGL5,Volvo,VNL 860,2025,340222,250,available,a7a0e58a-7589-417e-ad15-3e0f6ee4211a,360000,brake_inspection,2025-03-23
abaabb37-be31-4582-b69b-6fec77b0fd3c,TRK-1017,1M17D9F8JDR1LXTNW,Mack,Anthem,2023,499093,250,available,a5c4021b-5488-4368-9e13-974cfc4357b2,500000,transmission_service,2025-06-19
c3e2cded-e259-4a53-aef0-e27388a555e4,TRK-1018,1M1Z81GR87XYE6TZL,Mack,Anthem,2022,81773,250,available,b4d6a49a-44d6-4dce-82e0-967b3c2eac4a,100000,transmission_service,2025-10-03
9bb9d312-8be8-4108-9f87-55d941a7fb6f,TRK-1019,1XK1FVP4LG2XLRZT3,Kenworth,T680,2020,520869,200,available,e1bed69c-5f89-4d1a-ab5f-4f60665b74c2,600000,dpf_cleaning,2025-12-13
20ce6843-fa87-4433-bd5a-1c43a62d3130,TRK-1020,1FUD8HL3EB9X2S6V0,Freightliner,Cascadia,2021,620490,300,available,24dd1bd1-f1fc-4307-a497-01a617600cb1,700000,transmission_service,2025-06-21
de1c7432-0aad-47db-a9a4-57391fffc17e,TRK-1021,4V42H3ZSV7EESUVL1,Volvo,VNL 860,2020,234739,300,available,8cffe9c5-f13e-4d3e-9794-e4b2f22e808f,250000,oil_change,2025-02-24
569e5757-89f2-4e55-a4c4-f9bc4fce3bb2,TRK-1022,1M161SJJY2UXKCKJL,Mack,Anthem,2023,527470,150,available,8f995c84-607c-4ae0-b0d4-c21ca07f273d,600000,transmission_service,2025-08-17
afcf1250-4acd-40dd-be2d-27632ea813e6,TRK-1023,1XKHPLSC4N28A6VS8,Kenworth,T680,2020,481641,250,available,743c0ff0-e847-402c-8244-4f1429a62e75,500000,tire_replacement,2025-12-28
f00ad0d6-028c-4b1b-ae9d-d73e8146f0d5,TRK-1024,4V436TKTNZ30479U6,Volvo,VNL 860,2025,519375,150,available,932b0a9f-c131-45a8-834f-082694ccde46,600000,transmission_service,2025-10-07
08e4940d-19b7-41ce-8741-ba79b8b80108,TRK-1025,1M1BNGL2N14JCAU9M,Mack,Anthem,2022,222291,150,available,743c0ff0-e847-402c-8244-4f1429a62e75,400000,dpf_cleaning,2025-04-04
33d10abd-1c6c-4205-b95a-16b863b05407,TRK-1026,1M14XHSD8SJNW802F,Mack,Anthem,2019,112537,250,available,932b0a9f-c131-45a8-834f-082694ccde46,150000,tire_replacement,2025-04-13
c3c447c1-0a62-4f2c-ae63-9e0668439099,TRK-1027,3HS6N8GW4J0KZ33VB,International,LT,2019,407110,300,available,e1bed69c-5f89-4d1a-ab5f-4f60665b74c2,500000,transmission_service,2025-12-13
fe6cf675-e297-4987-9dbc-7d28b2024d36,TRK-1028,1XP54D8X40R18J3US,Peterbilt,579,2019,610538,300,available,04487ae7-0061-4d10-bae0-a8cb11cde667,630000,brake_inspection,2025-01-07
66288719-2402-4530-a83b-048257073d03,TRK-1029,1M14C6JSXNA5GG3M6,Mack,Anthem,2023,361433,250,available,b4d6a49a-44d6-4dce-82e0-967b3c2eac4a,390000,brake_inspection,2025-05-06
018dd376-0ba4-4ebb-a175-11e5970413e5,TRK-1030,1FU0T2ZYT3DHZLWSU,Freightliner,Cascadia,2023,280337,300,available,5d09a17e-b9a6-49b4-b030-c77c1619b8f6,300000,oil_change,2025-05-04
7149287a-e166-429a-94b2-8128e5ea5066,TRK-1031,3HSLH0L18ZG1KW2W9,International,LT,2021,448900,200,available,5d9b2d6b-91f3-4b4a-945d-8da3910babf3,600000,dpf_cleaning,2025-05-19
e56f4985-90f3-4999-bf5b-7158a39007f5,TRK-1032,1XK0EBBK8Y1DAKSM8,Kenworth,T680,2021,268158,250,available,04487ae7-0061-4d10-bae0-a8cb11cde667,270000,brake_inspection,2025-01-08
f32bfb02-7aef-4dfe-b52e-cf169a491ea4,TRK-1033,4V4CXBEVL9D2X3HUR,Volvo,VNL 860,2019,148517,300,available,5d9b2d6b-91f3-4b4a-945d-8da3910babf3,200000,dpf_cleaning,2025-09-09
439c0de9-599c-4602-adce-f79d3db5ffdb,TRK-1034,3HSB8D2XJCHVFPZSB,International,LT,2022,400214,250,available,5d09a17e-b9a6-49b4-b030-c77c1619b8f6,500000,transmission_service,2025-11-14
1390accb-1574-47c0-96d7-32a6ae0ad0ef,TRK-1035,1XPHJ3W3GDHEJEB3W,Peterbilt,579,2024,556086,250,available,24dd1bd1-f1fc-4307-a497-01a617600cb1,575000,oil_change,2025-12-18
7c22f31f-7458-4c65-b5cd-665df68f08f6,TRK-1036,1FUTTCBRLJD84V89Z,Freightliner,Cascadia,2022,398862,250,available,8cffe9c5-f13e-4d3e-9794-e4b2f22e808f,400000,dpf_cleaning,2025-05-20
5f197828-5079-4078-96fe-7b353f1a439f,TRK-1037,1FUY7FWXTDMLZ5LZK,Freightliner,Cascadia,2025,263700,300,available,04487ae7-0061-4d10-bae0-a8cb11cde667,400000,dpf_cleaning,2025-09-23
357fa3ab-23b9-4097-b5fb-40c37fb1f35e,TRK-1038,3HSJD254A5SBUXTRB,International,LT,2019,556919,250,available,b4d6a49a-44d6-4dce-82e0-967b3c2eac4a,575000,oil_change,2025-06-11
5d412048-de3c-4dd0-9e6f-c93978350731,TRK-1039,1XKAX30LAPH4D8YF7,Kenworth,T680,2021,539398,250,available,b4d6a49a-44d6-4dce-82e0-967b3c2eac4a,600000,dpf_cleaning,2025-03-04
f274bfe0-0737-448d-b544-c8b2f894188a,TRK-1040,1M1JVN7T65K3P7T4K,Mack,Anthem,2021,515673,250,available,04487ae7-0061-4d10-bae0-a8cb11cde667,600000,dpf_cleaning,2025-08-30
d31bc42e-b9a3-40ea-81f7-7b6b69dfde69,TRK-1041,3HSUMVUSLG0VH2B10,International,LT,2023,593425,300,available,a7a73568-5e65-43e1-bf71-2c7cd8483d63,600000,tire_replacement,2025-08-17
